wavelength,throughput,filter,lambda_c
0.9872000122070312,7.934032139714911e-5,F115W,1.154
0.9882000122070312,9.723367078612271e-5,F115W,1.154
0.9892000122070312,1.1769761879949e-4,F115W,1.154
0.9902000122070312,1.4094526540684e-4,F115W,1.154
0.9912000122070312,1.6682598590243e-4,F115W,1.154
0.9922000122070312,1.9603001433273e-4,F115W,1.154
0.9932000122070312,2.2938623629577e-4,F115W,1.154
0.9942000122070312,2.6840362711347e-4,F115W,1.154
0.9952000122070312,3.1490097096508e-4,F115W,1.154
0.9962000122070312,3.7263792012918e-4,F115W,1.154
0.99720001220703125,4.4656324328845e-4,F115W,1.154
0.9982000122070313,0.01318851269233234,F115W,1.154
0.9992000122070313,0.02744596704416641,F115W,1.154
1.0002000122070311,0.04342348395919356,F115W,1.154
1.0012000122070313,0.04838923691281051,F115W,1.154
1.0022000122070311,0.05429926019246729,F115W,1.154
1.0032000122070313,0.0603449688782301,F115W,1.154
1.0042000122070311,0.06786714203400727,F115W,1.154
1.0052000122070313,0.07618562942658286,F115W,1.154
1.0062000122070311,0.0869924133005681,F115W,1.154
1.0072000122070313,0.09914925523518976,F115W,1.154
1.0082000122070311,0.11292966763753728,F115W,1.154
1.0092000122070313,0.1282717406115197,F115W,1.154
1.0102000122070312,0.14459884753237012,F115W,1.154
1.0112000122070313,0.16243010800032914,F115W,1.154
1.0122000122070312,0.18032001985626048,F115W,1.154
1.0132000122070313,0.1986574452830688,F115W,1.154
1.0142000122070312,0.2149715693696316,F115W,1.154
1.0152000122070313,0.22902597713087533,F115W,1.154
1.0162000122070312,0.23913717255923864,F115W,1.154
1.0172000122070313,0.24631104848227095,F115W,1.154
1.0182000122070312,0.24987311618419503,F115W,1.154
1.0192000122070313,0.2516754074727472,F115W,1.154
1.0202000122070312,0.25169136317674945,F115W,1.154
1.0212000122070313,0.2519825870678848,F115W,1.154
1.0222000122070312,0.25141341069243306,F115W,1.154
1.0232000122070313,0.251296115034287,F115W,1.154
1.024199951171875,0.2506903875612214,F115W,1.154
1.025199951171875,0.2510868096005121,F115W,1.154
1.026199951171875,0.2513192232965784,F115W,1.154
1.027199951171875,0.25230243256104645,F115W,1.154
1.028199951171875,0.2534090913356719,F115W,1.154
1.029199951171875,0.2545133314506727,F115W,1.154
1.030199951171875,0.25604721837187644,F115W,1.154
1.031199951171875,0.25751751234204934,F115W,1.154
1.032199951171875,0.2599272476307411,F115W,1.154
1.033199951171875,0.2614889458506956,F115W,1.154
1.034199951171875,0.26412890186493704,F115W,1.154
1.035199951171875,0.2660594178712283,F115W,1.154
1.036199951171875,0.26796163473178736,F115W,1.154
1.037199951171875,0.26832632271958223,F115W,1.154
1.038199951171875,0.2703086937106879,F115W,1.154
1.039199951171875,0.2717016082922345,F115W,1.154
1.040199951171875,0.2736344616092271,F115W,1.154
1.041199951171875,0.2739658114175855,F115W,1.154
1.042199951171875,0.2750727787556534,F115W,1.154
1.043199951171875,0.27549105240834004,F115W,1.154
1.044199951171875,0.27617734538487926,F115W,1.154
1.045199951171875,0.27671033547092977,F115W,1.154
1.046199951171875,0.27794346012275994,F115W,1.154
1.047199951171875,0.278966913264918,F115W,1.154
1.048199951171875,0.2798604614241336,F115W,1.154
1.049199951171875,0.28062683526105,F115W,1.154
1.050199951171875,0.2814565476617639,F115W,1.154
1.051199951171875,0.28270054913005416,F115W,1.154
1.052199951171875,0.28363002715507346,F115W,1.154
1.053199951171875,0.28445938336096266,F115W,1.154
1.054199951171875,0.28549426847506243,F115W,1.154
1.055199951171875,0.28566808260901405,F115W,1.154
1.056199951171875,0.28597371263196825,F115W,1.154
1.057199951171875,0.28558349565415764,F115W,1.154
1.058199951171875,0.285841647458723,F115W,1.154
1.059199951171875,0.28560053056972834,F115W,1.154
1.060199951171875,0.2846327921872291,F115W,1.154
1.061199951171875,0.28371638190219056,F115W,1.154
1.062199951171875,0.28233371930961476,F115W,1.154
1.063199951171875,0.2806715906571644,F115W,1.154
1.064199951171875,0.27923061698666757,F115W,1.154
1.065199951171875,0.27783433504188143,F115W,1.154
1.066199951171875,0.2766987073875733,F115W,1.154
1.067199951171875,0.27443850787373864,F115W,1.154
1.068199951171875,0.27261831997310587,F115W,1.154
1.069199951171875,0.2702946077192178,F115W,1.154
1.070199951171875,0.26800659089011547,F115W,1.154
1.071199951171875,0.26605462766974913,F115W,1.154
1.072199951171875,0.26408055802077995,F115W,1.154
1.073199951171875,0.2627540810665849,F115W,1.154
1.074199951171875,0.2609905707681393,F115W,1.154
1.075199951171875,0.25996778297016515,F115W,1.154
1.076199951171875,0.2593832700726625,F115W,1.154
1.077199951171875,0.2588404804710838,F115W,1.154
1.078199951171875,0.25894121011710414,F115W,1.154
1.079199951171875,0.2584288948843023,F115W,1.154
1.080199951171875,0.2588785296436384,F115W,1.154
1.081199951171875,0.2595632402581637,F115W,1.154
1.082199951171875,0.2605912173661306,F115W,1.154
1.083199951171875,0.26102140971639143,F115W,1.154
1.084199951171875,0.26214113134776806,F115W,1.154
1.085199951171875,0.2630656546852521,F115W,1.154
1.086199951171875,0.2648759880000832,F115W,1.154
1.087199951171875,0.2659618553981343,F115W,1.154
1.088199951171875,0.26811227100334495,F115W,1.154
1.089199951171875,0.2699701669850812,F115W,1.154
1.090199951171875,0.2726320818390443,F115W,1.154
1.091199951171875,0.27501956315197423,F115W,1.154
1.092199951171875,0.2776089183545637,F115W,1.154
1.093199951171875,0.2799245685475579,F115W,1.154
1.094199951171875,0.28231580973042003,F115W,1.154
1.095199951171875,0.2847209006538919,F115W,1.154
1.096199951171875,0.2864958460323137,F115W,1.154
1.097199951171875,0.2892444084203206,F115W,1.154
1.098199951171875,0.2916136898082003,F115W,1.154
1.099199951171875,0.29392572299397596,F115W,1.154
1.100199951171875,0.2946760923972742,F115W,1.154
1.101199951171875,0.2957461237152091,F115W,1.154
1.102199951171875,0.2969908202957702,F115W,1.154
1.103199951171875,0.2983815277450062,F115W,1.154
1.104199951171875,0.29894966764899455,F115W,1.154
1.105199951171875,0.30001044524098924,F115W,1.154
1.106199951171875,0.30044861855335786,F115W,1.154
1.107199951171875,0.30078102540062396,F115W,1.154
1.108199951171875,0.30033171955786875,F115W,1.154
1.109199951171875,0.30005189422119005,F115W,1.154
1.110199951171875,0.3005099637355668,F115W,1.154
1.111199951171875,0.3004057341352581,F115W,1.154
1.112199951171875,0.3005879250984433,F115W,1.154
1.113199951171875,0.3001202205894592,F115W,1.154
1.114199951171875,0.3000084560290551,F115W,1.154
1.115199951171875,0.2995288050981089,F115W,1.154
1.116199951171875,0.29856839253444645,F115W,1.154
1.117199951171875,0.2978076367518946,F115W,1.154
1.118199951171875,0.2968702097218886,F115W,1.154
1.119199951171875,0.2962682907068602,F115W,1.154
1.120199951171875,0.29610272066309395,F115W,1.154
1.121199951171875,0.2952936020801365,F115W,1.154
1.122199951171875,0.29467599587804655,F115W,1.154
1.123199951171875,0.2933649405050727,F115W,1.154
1.124199951171875,0.2933701229905003,F115W,1.154
1.125199951171875,0.29304712824159995,F115W,1.154
1.126199951171875,0.29354118965773984,F115W,1.154
1.127199951171875,0.29376680515241105,F115W,1.154
1.128199951171875,0.29472512383634586,F115W,1.154
1.129199951171875,0.29517540172323364,F115W,1.154
1.130199951171875,0.29576158076904496,F115W,1.154
1.131199951171875,0.29624525382783273,F115W,1.154
1.132199951171875,0.2975303600890285,F115W,1.154
1.133199951171875,0.2983744293336658,F115W,1.154
1.134199951171875,0.2994170176346347,F115W,1.154
1.135199951171875,0.300023436651145,F115W,1.154
1.136199951171875,0.30124916134257834,F115W,1.154
1.137199951171875,0.3027814375053602,F115W,1.154
1.138199951171875,0.30363700722941167,F115W,1.154
1.139199951171875,0.3052635833209298,F115W,1.154
1.140199951171875,0.3060665177433533,F115W,1.154
1.141199951171875,0.3080927802454353,F115W,1.154
1.142199951171875,0.31036088823099334,F115W,1.154
1.143199951171875,0.3129947402964798,F115W,1.154
1.144199951171875,0.31580296698703897,F115W,1.154
1.145199951171875,0.3181301929060445,F115W,1.154
1.146199951171875,0.31989935913445255,F115W,1.154
1.147199951171875,0.3215352052706871,F115W,1.154
1.148199951171875,0.3230651913749651,F115W,1.154
1.149199951171875,0.32551267468845035,F115W,1.154
1.150199951171875,0.3274881666928508,F115W,1.154
1.151199951171875,0.32952251967948337,F115W,1.154
1.152199951171875,0.33147338774605223,F115W,1.154
1.153199951171875,0.3329098830390441,F115W,1.154
1.154199951171875,0.3345649957250345,F115W,1.154
1.155199951171875,0.33629698994123874,F115W,1.154
1.156199951171875,0.33836279158115756,F115W,1.154
1.157199951171875,0.3404810784122413,F115W,1.154
1.158199951171875,0.34221566462055064,F115W,1.154
1.159199951171875,0.34481919499664565,F115W,1.154
1.160199951171875,0.34578397772312036,F115W,1.154
1.161199951171875,0.3476219175998997,F115W,1.154
1.162199951171875,0.34862412534091636,F115W,1.154
1.163199951171875,0.3506239382718444,F115W,1.154
1.164199951171875,0.35167924626606073,F115W,1.154
1.165199951171875,0.35288056634034215,F115W,1.154
1.166199951171875,0.3539363346046357,F115W,1.154
1.167199951171875,0.35523559874128696,F115W,1.154
1.168199951171875,0.35584918385485415,F115W,1.154
1.169199951171875,0.35657699488295175,F115W,1.154
1.170199951171875,0.35720359537340823,F115W,1.154
1.171199951171875,0.35768948039111437,F115W,1.154
