filter,wavelength,throughput,lambda_c,speclite_filter,source
u,0.3435000000000098,0.0665102547350395,0.3745700760437951,lsst2023-u,lsst2023
u,0.34360000000000984,0.06687015042270471,0.3745700760437951,lsst2023-u,lsst2023
u,0.3437000000000099,0.06723168634592436,0.3745700760437951,lsst2023-u,lsst2023
u,0.34380000000000993,0.06759480928485721,0.3745700760437951,lsst2023-u,lsst2023
u,0.3439000000000099,0.06795946931818751,0.3745700760437951,lsst2023-u,lsst2023
u,0.34400000000000996,0.06832561993236906,0.3745700760437951,lsst2023-u,lsst2023
u,0.34410000000000995,0.06865439797644973,0.3745700760437951,lsst2023-u,lsst2023
u,0.34420000000001,0.06898430863124483,0.3745700760437951,lsst2023-u,lsst2023
u,0.34430000000001,0.06931531554725782,0.3745700760437951,lsst2023-u,lsst2023
u,0.34440000000001003,0.06964738630970986,0.3745700760437951,lsst2023-u,lsst2023
u,0.3445000000000101,0.06998049254319888,0.3745700760437951,lsst2023-u,lsst2023
u,0.3446000000000101,0.07036543663143573,0.3745700760437951,lsst2023-u,lsst2023
u,0.3447000000000101,0.07075178052535606,0.3745700760437951,lsst2023-u,lsst2023
u,0.34480000000001015,0.07113950762686003,0.3745700760437951,lsst2023-u,lsst2023
u,0.34490000000001014,0.07152860572300733,0.3745700760437951,lsst2023-u,lsst2023
u,0.3450000000000102,0.07191906711250434,0.3745700760437951,lsst2023-u,lsst2023
u,0.3451000000000102,0.07238469567959462,0.3745700760437951,lsst2023-u,lsst2023
u,0.3452000000000102,0.07285240872294287,0.3745700760437951,lsst2023-u,lsst2023
u,0.3453000000000102,0.0733222158466884,0.3745700760437951,lsst2023-u,lsst2023
u,0.34540000000001025,0.07379413172661976,0.3745700760437951,lsst2023-u,lsst2023
u,0.3455000000000103,0.07426817626931621,0.3745700760437951,lsst2023-u,lsst2023
u,0.34560000000001034,0.07471770892604519,0.3745700760437951,lsst2023-u,lsst2023
u,0.34570000000001033,0.07516914245068611,0.3745700760437951,lsst2023-u,lsst2023
u,0.3458000000000104,0.07562251196197795,0.3745700760437951,lsst2023-u,lsst2023
u,0.34590000000001037,0.07607785841756146,0.3745700760437951,lsst2023-u,lsst2023
u,0.3460000000000104,0.07653522877475062,0.3745700760437951,lsst2023-u,lsst2023
u,0.3461000000000104,0.07690510331689204,0.3745700760437951,lsst2023-u,lsst2023
u,0.34620000000001044,0.07727632585376487,0.3745700760437951,lsst2023-u,lsst2023
u,0.34630000000001043,0.07764895839539494,0.3745700760437951,lsst2023-u,lsst2023
u,0.3464000000000105,0.07802306930708255,0.3745700760437951,lsst2023-u,lsst2023
u,0.3465000000000105,0.07839873344462873,0.3745700760437951,lsst2023-u,lsst2023
u,0.34660000000001057,0.07877602904843993,0.3745700760437951,lsst2023-u,lsst2023
u,0.34670000000001056,0.07915475274284918,0.3745700760437951,lsst2023-u,lsst2023
u,0.3468000000000106,0.07953491003616743,0.3745700760437951,lsst2023-u,lsst2023
u,0.3469000000000106,0.07991650647380945,0.3745700760437951,lsst2023-u,lsst2023
u,0.34700000000001063,0.08029954763814205,0.3745700760437951,lsst2023-u,lsst2023
u,0.3471000000000106,0.08082468584163252,0.3745700760437951,lsst2023-u,lsst2023
u,0.34720000000001067,0.08135252064833624,0.3745700760437951,lsst2023-u,lsst2023
u,0.3473000000000107,0.08188306387808862,0.3745700760437951,lsst2023-u,lsst2023
u,0.34740000000001076,0.08241632741823007,0.3745700760437951,lsst2023-u,lsst2023
u,0.34750000000001074,0.0829523232246443,0.3745700760437951,lsst2023-u,lsst2023
u,0.3476000000000108,0.08349106675978574,0.3745700760437951,lsst2023-u,lsst2023
u,0.3477000000000108,0.08403256416840756,0.3745700760437951,lsst2023-u,lsst2023
u,0.3478000000000108,0.08457682499244092,0.3745700760437951,lsst2023-u,lsst2023
u,0.3479000000000108,0.08512385877803416,0.3745700760437951,lsst2023-u,lsst2023
u,0.34800000000001086,0.08567367507513182,0.3745700760437951,lsst2023-u,lsst2023
u,0.34810000000001085,0.08601517382433668,0.3745700760437951,lsst2023-u,lsst2023
u,0.3482000000000109,0.08635773714347664,0.3745700760437951,lsst2023-u,lsst2023
u,0.34830000000001093,0.08670136653072719,0.3745700760437951,lsst2023-u,lsst2023
u,0.348400000000011,0.08704606347412278,0.3745700760437951,lsst2023-u,lsst2023
u,0.34850000000001097,0.08739182944998095,0.3745700760437951,lsst2023-u,lsst2023
u,0.348600000000011,0.08776967999276247,0.3745700760437951,lsst2023-u,lsst2023
u,0.348700000000011,0.08814903660378438,0.3745700760437951,lsst2023-u,lsst2023
u,0.34880000000001105,0.08852978447258662,0.3745700760437951,lsst2023-u,lsst2023
u,0.34890000000001103,0.08891181566355935,0.3745700760437951,lsst2023-u,lsst2023
u,0.3490000000000111,0.0892950292877755,0.3745700760437951,lsst2023-u,lsst2023
u,0.34910000000001107,0.08969371089194714,0.3745700760437951,lsst2023-u,lsst2023
u,0.34920000000001117,0.09009348337005813,0.3745700760437951,lsst2023-u,lsst2023
u,0.34930000000001116,0.09049426812616185,0.3745700760437951,lsst2023-u,lsst2023
u,0.3494000000000112,0.09089599428524395,0.3745700760437951,lsst2023-u,lsst2023
u,0.3495000000000112,0.09129859888371203,0.3745700760437951,lsst2023-u,lsst2023
u,0.34960000000001124,0.09170202706195087,0.3745700760437951,lsst2023-u,lsst2023
u,0.3497000000000112,0.09210623750144269,0.3745700760437951,lsst2023-u,lsst2023
u,0.34980000000001127,0.09251119375999421,0.3745700760437951,lsst2023-u,lsst2023
